,posted,neighborhood,post title,number bedrooms,sqft,URL,price
30,10/12/19 13:00,Midtown West,100% NO FEE // LIVE IN THE CENTER OF THE CITY/ LUX STUDIO //  24H/R D/,,,https://newyork.craigslist.org/mnh/apa/d/new-york-100-no-fee-live-in-the-center/6998098397.html,2550
31,10/12/19 12:48,Upper East Side,"Gorgeous Large Studio on 2nd Ave and 85th! Bright, Big. Hurry! No Fee!",,,https://newyork.craigslist.org/mnh/apa/d/new-york-gorgeous-large-studio-on-2nd/6998087697.html,2000
32,10/12/19 12:25,West Village,***SUN BURSTING WEST VILL CORNER 1 BED STUNNER***AMAZING FIND!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-sun-bursting-west-vill-corner/6998067669.html,3650
33,10/12/19 12:24,Financial District,"Check out this Fantastic 2 Bed, 1 Bath/ Flex 3 in the Financial Distri",2,,https://newyork.craigslist.org/mnh/apa/d/new-york-check-out-this-fantastic-2-bed/6998066508.html,5295
34,10/12/19 12:04,Upper East Side,NO FEE-80s ! Play Room RD Free GYM !NEW! OH âù€â™›Doorman Stainless NO FEE,2,1150,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-80s-play-room-rd-free/6998048782.html,4440
35,10/12/19 11:47,Upper East Side,750sf NO FEE-70s ! Free GYM !NEW! OH âù€â™›Doorman Stainless NO FEE,1,750,https://newyork.craigslist.org/mnh/apa/d/new-york-750sf-no-fee-70s-free-gym-new/6998034522.html,3300
36,10/12/19 11:31,Upper East Side,WOW E.95th! Next to Q train! True 2 bed!! Big Living Rm! 917-723-3281,2,,https://newyork.craigslist.org/mnh/apa/d/new-york-wow-e95th-next-to-train-true-2/6998021284.html,2500
37,10/12/19 11:31,Upper East Side,E77th @ 6train! Tons of Sun! Big 1bed+office or conv/2! 917-723-3281,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-e77th-6train-tons-of-sun-big/6998021020.html,2600
38,10/12/19 11:21,Financial District,650 Sq.f.--MASSIVE LAYOUT--WASHER / DRYER--ONE MONTH FREE--,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-650-sqf-massive-layout-washer/6998012985.html,2625
39,10/12/19 10:54,Upper East Side,Prime UES Location | Close to trains | NO FEE!,2,,https://newyork.craigslist.org/mnh/apa/d/new-york-prime-ues-location-close-to/6997990823.html,2850
40,10/12/19 10:51,Lower East Side,Large two bedrooms apartment with 100sqf backyard for rent trendy hood,2,800,https://newyork.craigslist.org/mnh/apa/d/new-york-large-two-bedrooms-apartment/6997988375.html,3000
41,10/12/19 10:48,Financial District,20 Broad Street - Marvelous FiDi Rental Residences / 2 MONTHS FREE,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-20-broad-street-marvelous-fidi/6997986225.html,4030
42,10/12/19 10:46,Financial District,20 Broad Street - Marvelous FiDi Rental Residences / 2 MONTHS FREE,,,https://newyork.craigslist.org/mnh/apa/d/new-york-20-broad-street-marvelous-fidi/6997985047.html,2915
43,10/12/19 10:38,Upper East Side,best budget friendly 2 bed in UES! No Fee! right off Lexington!,2,,https://newyork.craigslist.org/mnh/apa/d/new-york-best-budget-friendly-2-bed-in/6997979245.html,2700
44,10/12/19 10:35,Midtown East,"221 E.66St/3rd, SS/Granite Kit, TOP VALUE! Near CP OH SAT/SUN 12:30-5",1,,https://newyork.craigslist.org/mnh/apa/d/new-york-221-e66st-3rd-ss-granite-kit/6997977215.html,2825
45,10/12/19 10:35,Upper East Side,"213 E.66St/3rd, SS/Granite Kit, TOP VALUE! Near CP OH SAT/SUN 12:30-5",,,https://newyork.craigslist.org/mnh/apa/d/new-york-213-e66st-3rd-ss-granite-kit/6997976668.html,1974
46,10/12/19 10:27,Tribeca,"55 Thompson SOHO LUXURY HI END Rental, Fplc, OH SAT/SUN 3-5 - No Fee",2,,https://newyork.craigslist.org/mnh/apa/d/new-york-55-thompson-soho-luxury-hi-end/6997971087.html,11500
47,10/12/19 10:26,Soho,"55 Thompson SOHO LUXURY HI END Rental, Fplc, OH SAT/SUN 3-5 - No Fee",1,,https://newyork.craigslist.org/mnh/apa/d/new-york-55-thompson-soho-luxury-hi-end/6997970627.html,9650
48,10/12/19 10:23,Soho,"111 Sullivan (Spring/Prince) SS Kit, DFplc, OH SAT/SUN 11-2 - No Fee",,,https://newyork.craigslist.org/mnh/apa/d/new-york-111-sullivan-spring-prince-ss/6997968564.html,2295
